food,caloric value,carbohydrates,protein,fat,free sugar (g),fibre (g),sodium (mg),calcium (mg),iron (mg),vitamin c (mg),folate (µg)
,531.0,92.1,5.9,,,,732.0,,,,
,531.0,51.5,5.2,,,,311.0,,,,
,298.0,44.6,50.0,,,,788.0,,,,
,357.0,87.2,43.4,,,,206.0,,,,
,158.0,30.2,45.6,,,,27.0,,,,
,164.0,63.8,4.1,,,,242.0,,,,
,255.0,5.1,18.0,,,,359.0,,,,
,432.0,51.3,40.3,,,,245.0,,,,
,313.0,45.0,39.2,,,,946.0,,,,
,329.0,51.1,4.7,,,,562.0,,,,
,211.0,9.4,25.6,,,,133.0,,,,
,451.0,65.7,1.9,,,,473.0,,,,
,430.0,69.7,29.3,,,,137.0,,,,
,245.0,55.4,48.4,,,,359.0,,,,
,591.0,44.6,8.9,,,,236.0,,,,
,428.0,44.3,22.0,,,,875.0,,,,
,114.0,9.7,42.2,,,,685.0,,,,
,278.0,44.9,10.8,,,,778.0,,,,
,509.0,30.0,4.7,,,,297.0,,,,
,197.0,98.0,43.4,,,,590.0,,,,
,556.0,44.5,4.7,,,,61.0,,,,
,81.0,66.8,17.0,,,,311.0,,,,
,474.0,52.6,40.5,,,,487.0,,,,
,546.0,79.1,2.8,,,,92.0,,,,
,301.0,14.8,23.6,,,,840.0,,,,
,245.0,76.8,46.1,,,,612.0,,,,
,340.0,26.7,9.1,,,,109.0,,,,
,194.0,5.1,46.3,,,,214.0,,,,
,445.0,18.8,37.6,,,,952.0,,,,
,266.0,58.5,25.8,,,,191.0,,,,
,159.0,20.2,34.6,,,,539.0,,,,
,69.0,97.6,31.4,,,,707.0,,,,
,123.0,77.4,7.9,,,,310.0,,,,
,503.0,17.6,37.3,,,,701.0,,,,
,597.0,18.3,48.5,,,,269.0,,,,
,276.0,11.6,24.5,,,,470.0,,,,
,233.0,16.8,1.3,,,,440.0,,,,
,552.0,25.3,44.6,,,,694.0,,,,
,151.0,24.9,27.2,,,,723.0,,,,
,374.0,15.2,13.9,,,,868.0,,,,
,193.0,10.4,16.5,,,,867.0,,,,
,327.0,70.9,46.7,,,,951.0,,,,
,267.0,15.0,32.7,,,,883.0,,,,
,112.0,94.6,1.2,,,,148.0,,,,
,458.0,19.7,30.0,,,,727.0,,,,
,62.0,85.8,39.5,,,,110.0,,,,
,113.0,63.7,33.0,,,,748.0,,,,
,435.0,36.7,7.9,,,,706.0,,,,
,228.0,97.3,20.5,,,,478.0,,,,
,398.0,41.8,2.7,,,,406.0,,,,
,222.0,62.1,4.8,,,,275.0,,,,
,358.0,64.7,3.9,,,,820.0,,,,
,559.0,13.6,33.9,,,,752.0,,,,
,489.0,91.5,37.4,,,,263.0,,,,
,417.0,96.0,38.5,,,,935.0,,,,
,130.0,17.8,29.9,,,,238.0,,,,
,444.0,91.2,38.0,,,,115.0,,,,
,174.0,77.1,49.9,,,,591.0,,,,
,91.0,18.2,41.9,,,,613.0,,,,
,153.0,43.1,1.2,,,,805.0,,,,
,533.0,12.5,22.8,,,,862.0,,,,
,372.0,33.2,23.2,,,,715.0,,,,
,202.0,66.5,38.4,,,,315.0,,,,
,581.0,63.5,31.7,,,,999.0,,,,
,574.0,90.8,11.6,,,,101.0,,,,
,265.0,55.6,18.1,,,,186.0,,,,
,279.0,6.3,39.6,,,,590.0,,,,
,124.0,42.2,31.7,,,,1000.0,,,,
,555.0,27.4,14.3,,,,281.0,,,,
,73.0,6.6,22.0,,,,831.0,,,,
,215.0,57.9,29.6,,,,459.0,,,,
,306.0,48.7,7.8,,,,639.0,,,,
,351.0,49.9,13.4,,,,80.0,,,,
,423.0,78.7,30.3,,,,177.0,,,,
,266.0,27.3,6.9,,,,69.0,,,,
,324.0,72.3,14.3,,,,504.0,,,,
,516.0,15.1,24.4,,,,834.0,,,,
,547.0,66.9,11.5,,,,302.0,,,,
,272.0,7.5,44.3,,,,712.0,,,,
,175.0,18.2,36.9,,,,676.0,,,,
,401.0,79.5,4.5,,,,687.0,,,,
,84.0,87.5,9.9,,,,27.0,,,,
,550.0,63.8,38.6,,,,708.0,,,,
,412.0,56.2,11.4,,,,280.0,,,,
,118.0,41.2,34.6,,,,27.0,,,,
,431.0,31.6,32.9,,,,173.0,,,,
,154.0,49.5,21.0,,,,855.0,,,,
,197.0,61.6,3.4,,,,165.0,,,,
,397.0,56.5,39.0,,,,667.0,,,,
,313.0,41.3,7.5,,,,207.0,,,,
,147.0,26.0,12.6,,,,880.0,,,,
,283.0,31.2,39.3,,,,572.0,,,,
,590.0,80.4,30.2,,,,558.0,,,,
,379.0,77.6,18.2,,,,914.0,,,,
,158.0,33.3,35.9,,,,979.0,,,,
,591.0,8.6,39.1,,,,930.0,,,,
,258.0,45.5,14.6,,,,407.0,,,,
,73.0,20.6,3.4,,,,90.0,,,,
,216.0,98.1,32.9,,,,839.0,,,,
,234.0,92.7,6.3,,,,35.0,,,,
,51.0,77.8,11.4,,,,88.0,,,,
,516.0,21.1,17.9,,,,111.0,,,,
,377.0,62.7,2.5,,,,747.0,,,,
,582.0,76.3,12.9,,,,207.0,,,,
,211.0,82.8,13.7,,,,941.0,,,,
,124.0,7.5,18.4,,,,569.0,,,,
,460.0,58.7,46.2,,,,516.0,,,,
,434.0,34.3,24.8,,,,5.0,,,,
,310.0,87.9,3.8,,,,347.0,,,,
,156.0,13.7,7.1,,,,216.0,,,,
,597.0,90.1,45.0,,,,128.0,,,,
,435.0,35.1,10.1,,,,730.0,,,,
,444.0,39.9,2.7,,,,594.0,,,,
,197.0,25.4,22.4,,,,525.0,,,,
,147.0,58.2,17.5,,,,958.0,,,,
,579.0,80.7,32.9,,,,364.0,,,,
,483.0,18.9,41.0,,,,261.0,,,,
,173.0,95.3,47.9,,,,305.0,,,,
,290.0,78.3,11.7,,,,830.0,,,,
,443.0,46.4,2.3,,,,673.0,,,,
,547.0,78.0,38.2,,,,243.0,,,,
,322.0,89.8,25.2,,,,511.0,,,,
,557.0,44.5,15.3,,,,360.0,,,,
,376.0,67.0,19.1,,,,162.0,,,,
,559.0,6.4,37.9,,,,684.0,,,,
,187.0,34.0,38.0,,,,11.0,,,,
,520.0,67.4,26.4,,,,938.0,,,,
,503.0,78.5,26.6,,,,49.0,,,,
,135.0,37.3,2.5,,,,189.0,,,,
,599.0,81.7,20.6,,,,429.0,,,,
,410.0,53.5,42.6,,,,299.0,,,,
,232.0,8.3,3.5,,,,952.0,,,,
,166.0,47.7,6.9,,,,248.0,,,,
,391.0,63.2,48.4,,,,479.0,,,,
,245.0,23.7,21.8,,,,132.0,,,,
,275.0,31.0,7.3,,,,53.0,,,,
,477.0,61.1,7.6,,,,389.0,,,,
,464.0,55.9,5.8,,,,446.0,,,,
,470.0,20.0,38.7,,,,155.0,,,,
,591.0,96.7,35.4,,,,537.0,,,,
,241.0,38.0,26.0,,,,38.0,,,,
,518.0,16.0,31.7,,,,632.0,,,,
,456.0,7.7,47.7,,,,116.0,,,,
,227.0,20.1,31.2,,,,849.0,,,,
,226.0,13.8,18.2,,,,403.0,,,,
,73.0,76.1,11.1,,,,825.0,,,,
,108.0,90.3,34.0,,,,343.0,,,,
,112.0,10.5,5.7,,,,908.0,,,,
,493.0,5.4,21.2,,,,120.0,,,,
,425.0,81.0,5.0,,,,103.0,,,,
,548.0,51.6,20.0,,,,668.0,,,,
,411.0,58.1,38.8,,,,997.0,,,,
,123.0,98.1,23.2,,,,502.0,,,,
,249.0,62.9,18.9,,,,869.0,,,,
,345.0,51.5,48.3,,,,57.0,,,,
,263.0,17.9,14.6,,,,755.0,,,,
,549.0,84.7,2.3,,,,819.0,,,,
,441.0,64.0,30.1,,,,512.0,,,,
,331.0,59.9,35.2,,,,153.0,,,,
,167.0,29.3,29.7,,,,728.0,,,,
,324.0,32.3,31.2,,,,844.0,,,,
,423.0,35.8,38.4,,,,422.0,,,,
,433.0,26.5,10.0,,,,593.0,,,,
,576.0,40.9,40.1,,,,749.0,,,,
,124.0,44.3,46.5,,,,50.0,,,,
,346.0,9.9,36.3,,,,824.0,,,,
,176.0,59.3,12.8,,,,474.0,,,,
,221.0,47.6,25.6,,,,357.0,,,,
,191.0,20.6,24.2,,,,65.0,,,,
,264.0,48.0,6.1,,,,213.0,,,,
,180.0,89.6,6.9,,,,764.0,,,,
,442.0,58.7,3.3,,,,182.0,,,,
,82.0,46.6,8.1,,,,252.0,,,,
,160.0,26.4,24.8,,,,75.0,,,,
,132.0,96.9,34.0,,,,523.0,,,,
,366.0,85.1,15.9,,,,970.0,,,,
,357.0,7.6,19.9,,,,57.0,,,,
,407.0,6.5,47.9,,,,106.0,,,,
,370.0,15.2,36.8,,,,857.0,,,,
,500.0,26.0,47.4,,,,506.0,,,,
,489.0,68.3,37.4,,,,295.0,,,,
,255.0,84.9,10.4,,,,555.0,,,,
,472.0,30.4,42.7,,,,837.0,,,,
,271.0,13.5,1.9,,,,529.0,,,,
,267.0,36.8,31.6,,,,695.0,,,,
,517.0,41.5,4.9,,,,649.0,,,,
,61.0,5.9,49.2,,,,683.0,,,,
,269.0,34.8,37.4,,,,389.0,,,,
,424.0,69.5,22.3,,,,287.0,,,,
,437.0,43.9,1.7,,,,714.0,,,,
,246.0,77.7,31.9,,,,874.0,,,,
,387.0,86.9,21.2,,,,167.0,,,,
,128.0,98.6,39.8,,,,24.0,,,,
,172.0,63.8,25.2,,,,993.0,,,,
,559.0,39.2,5.7,,,,246.0,,,,
,363.0,85.7,17.8,,,,294.0,,,,
,296.0,59.8,21.3,,,,685.0,,,,
,108.0,87.1,29.2,,,,293.0,,,,
,378.0,12.7,31.6,,,,698.0,,,,
,474.0,56.5,19.5,,,,713.0,,,,
,460.0,17.7,43.7,,,,422.0,,,,
,186.0,56.1,8.4,,,,607.0,,,,
,574.0,62.5,1.1,,,,261.0,,,,
,436.0,51.4,13.1,,,,123.0,,,,
,427.0,12.7,24.8,,,,243.0,,,,
,470.0,85.1,11.5,,,,596.0,,,,
,583.0,30.5,30.0,,,,320.0,,,,
,353.0,32.5,15.8,,,,655.0,,,,
,479.0,24.7,8.8,,,,774.0,,,,
,161.0,51.5,26.1,,,,47.0,,,,
,53.0,11.2,19.7,,,,346.0,,,,
,535.0,39.6,18.4,,,,948.0,,,,
,361.0,46.0,9.8,,,,757.0,,,,
,328.0,85.5,17.1,,,,180.0,,,,
,288.0,83.6,20.0,,,,335.0,,,,
,554.0,74.0,46.4,,,,309.0,,,,
,296.0,82.5,2.6,,,,859.0,,,,
,356.0,40.9,47.8,,,,312.0,,,,
,310.0,80.8,39.0,,,,754.0,,,,
,316.0,68.1,18.6,,,,953.0,,,,
,68.0,24.9,45.7,,,,721.0,,,,
,358.0,99.9,30.9,,,,650.0,,,,
,576.0,76.0,49.9,,,,184.0,,,,
,160.0,48.5,16.3,,,,828.0,,,,
,385.0,59.9,22.1,,,,741.0,,,,
,234.0,20.9,9.2,,,,958.0,,,,
,286.0,15.4,16.1,,,,289.0,,,,
,430.0,31.9,45.6,,,,432.0,,,,
,102.0,76.4,38.3,,,,919.0,,,,
,126.0,54.2,39.8,,,,442.0,,,,
,467.0,77.4,40.2,,,,898.0,,,,
,390.0,88.9,41.6,,,,546.0,,,,
,286.0,67.1,26.6,,,,133.0,,,,
,578.0,42.0,26.1,,,,93.0,,,,
,434.0,24.7,33.8,,,,345.0,,,,
,337.0,71.7,32.8,,,,716.0,,,,
,295.0,10.2,11.5,,,,73.0,,,,
,383.0,32.2,34.4,,,,294.0,,,,
,484.0,77.9,36.2,,,,512.0,,,,
,137.0,10.8,44.0,,,,943.0,,,,
,313.0,24.8,9.0,,,,832.0,,,,
,430.0,86.3,13.4,,,,7.0,,,,
,472.0,32.5,48.7,,,,260.0,,,,
,338.0,84.3,23.4,,,,457.0,,,,
,148.0,92.5,23.9,,,,1000.0,,,,
,410.0,23.4,24.7,,,,351.0,,,,
,174.0,50.0,11.3,,,,282.0,,,,
,156.0,15.0,13.7,,,,937.0,,,,
,366.0,92.2,13.0,,,,326.0,,,,
,474.0,8.4,17.4,,,,89.0,,,,
,105.0,86.4,47.4,,,,779.0,,,,
,88.0,25.6,1.3,,,,172.0,,,,
,58.0,90.3,9.2,,,,642.0,,,,
,62.0,45.1,15.9,,,,365.0,,,,
,247.0,49.3,12.6,,,,310.0,,,,
,371.0,78.1,16.9,,,,54.0,,,,
,300.0,43.0,37.4,,,,722.0,,,,
,582.0,78.2,19.9,,,,972.0,,,,
,161.0,7.7,2.1,,,,774.0,,,,
,337.0,89.0,34.6,,,,524.0,,,,
,488.0,87.4,41.1,,,,22.0,,,,
,88.0,74.1,27.9,,,,742.0,,,,
,432.0,93.5,30.7,,,,947.0,,,,
,210.0,80.9,31.8,,,,830.0,,,,
,396.0,29.8,7.4,,,,214.0,,,,
,126.0,8.1,14.9,,,,510.0,,,,
,243.0,29.0,46.3,,,,151.0,,,,
,196.0,24.5,3.0,,,,715.0,,,,
,315.0,6.8,37.6,,,,256.0,,,,
,378.0,6.0,39.7,,,,159.0,,,,
,480.0,45.4,17.9,,,,605.0,,,,
,209.0,86.4,35.2,,,,920.0,,,,
,153.0,28.2,19.3,,,,809.0,,,,
,479.0,51.9,36.7,,,,394.0,,,,
,384.0,73.9,38.6,,,,537.0,,,,
,229.0,19.3,17.9,,,,634.0,,,,
,388.0,42.5,27.7,,,,297.0,,,,
,237.0,59.3,36.2,,,,362.0,,,,
,274.0,61.3,5.9,,,,877.0,,,,
,419.0,80.2,40.1,,,,175.0,,,,
,515.0,28.8,3.8,,,,163.0,,,,
,330.0,12.4,16.7,,,,92.0,,,,
,411.0,40.6,13.7,,,,388.0,,,,
,79.0,13.1,1.3,,,,226.0,,,,
,416.0,36.9,48.6,,,,8.0,,,,
,505.0,37.4,46.1,,,,865.0,,,,
,373.0,12.5,45.3,,,,68.0,,,,
,356.0,95.8,37.9,,,,91.0,,,,
,175.0,12.4,33.5,,,,55.0,,,,
,585.0,31.6,24.0,,,,804.0,,,,
,357.0,18.0,18.4,,,,987.0,,,,
,298.0,92.8,26.3,,,,603.0,,,,
,79.0,35.1,4.7,,,,345.0,,,,
,396.0,8.5,10.8,,,,260.0,,,,
,233.0,58.5,19.0,,,,366.0,,,,
,80.0,44.4,36.6,,,,445.0,,,,
,505.0,10.1,40.8,,,,135.0,,,,
,401.0,9.8,22.6,,,,256.0,,,,
,319.0,5.8,16.4,,,,793.0,,,,
,74.0,68.9,16.4,,,,606.0,,,,
,524.0,77.9,48.8,,,,702.0,,,,
,598.0,58.0,29.3,,,,973.0,,,,
,185.0,40.9,22.3,,,,155.0,,,,
,297.0,11.3,16.1,,,,338.0,,,,
,479.0,99.7,19.6,,,,787.0,,,,
,535.0,29.0,8.1,,,,238.0,,,,
,515.0,74.8,16.6,,,,132.0,,,,
,432.0,33.8,2.7,,,,734.0,,,,
,190.0,80.7,30.5,,,,64.0,,,,
,566.0,8.4,42.1,,,,338.0,,,,
,99.0,22.8,32.4,,,,749.0,,,,
,519.0,19.7,30.2,,,,352.0,,,,
,140.0,68.8,2.5,,,,748.0,,,,
,96.0,68.4,21.5,,,,410.0,,,,
,63.0,30.3,7.4,,,,646.0,,,,
,245.0,40.8,15.8,,,,315.0,,,,
,576.0,8.0,7.1,,,,443.0,,,,
,112.0,50.1,45.5,,,,684.0,,,,
,193.0,73.6,19.9,,,,495.0,,,,
,163.0,15.9,3.8,,,,501.0,,,,
,525.0,61.9,30.3,,,,505.0,,,,
,418.0,5.5,33.6,,,,680.0,,,,
,400.0,64.6,6.9,,,,891.0,,,,
,430.0,61.4,40.2,,,,189.0,,,,
,152.0,33.0,15.1,,,,210.0,,,,
,199.0,7.5,13.2,,,,760.0,,,,
,167.0,28.7,23.5,,,,97.0,,,,
,221.0,46.8,34.5,,,,326.0,,,,
,165.0,74.5,43.5,,,,214.0,,,,
,459.0,48.2,10.7,,,,798.0,,,,
,579.0,37.6,24.3,,,,578.0,,,,
,276.0,48.0,47.1,,,,708.0,,,,
,239.0,23.7,30.4,,,,433.0,,,,
,109.0,88.0,30.6,,,,187.0,,,,
,254.0,36.9,14.9,,,,7.0,,,,
,214.0,22.1,31.8,,,,63.0,,,,
,499.0,48.5,8.3,,,,699.0,,,,
,120.0,41.7,9.3,,,,896.0,,,,
,317.0,53.8,30.9,,,,776.0,,,,
,212.0,74.9,28.7,,,,34.0,,,,
,266.0,78.9,48.8,,,,775.0,,,,
,164.0,84.5,24.5,,,,545.0,,,,
,577.0,19.7,45.1,,,,636.0,,,,
,157.0,89.4,27.8,,,,707.0,,,,
,196.0,32.5,25.0,,,,380.0,,,,
,232.0,56.1,47.2,,,,818.0,,,,
,251.0,9.9,46.0,,,,894.0,,,,
,540.0,23.9,16.7,,,,784.0,,,,
,223.0,34.9,27.2,,,,738.0,,,,
,81.0,40.3,20.4,,,,673.0,,,,
,111.0,96.8,42.1,,,,46.0,,,,
,87.0,81.7,7.2,,,,233.0,,,,
,174.0,21.8,49.6,,,,512.0,,,,
,486.0,83.2,46.5,,,,940.0,,,,
,571.0,67.6,46.1,,,,952.0,,,,
,471.0,12.2,46.4,,,,773.0,,,,
,115.0,85.7,29.2,,,,373.0,,,,
,405.0,92.1,12.2,,,,75.0,,,,
,570.0,62.9,2.3,,,,442.0,,,,
,599.0,67.2,20.9,,,,186.0,,,,
,554.0,21.6,18.2,,,,102.0,,,,
,113.0,86.8,35.6,,,,672.0,,,,
,257.0,82.9,11.8,,,,984.0,,,,
,233.0,89.5,35.8,,,,929.0,,,,
,370.0,44.2,36.3,,,,533.0,,,,
,290.0,75.5,9.1,,,,328.0,,,,
,178.0,75.8,46.7,,,,646.0,,,,
,572.0,32.9,38.1,,,,643.0,,,,
,574.0,82.8,40.6,,,,560.0,,,,
,544.0,46.0,10.6,,,,243.0,,,,
,187.0,44.1,6.4,,,,48.0,,,,
,280.0,56.1,12.6,,,,264.0,,,,
,478.0,12.8,42.6,,,,750.0,,,,
,444.0,39.0,19.5,,,,546.0,,,,
,65.0,67.2,26.4,,,,768.0,,,,
,572.0,61.1,11.9,,,,518.0,,,,
,570.0,77.2,46.1,,,,237.0,,,,
,442.0,14.8,25.2,,,,933.0,,,,
,342.0,91.5,27.9,,,,758.0,,,,
,449.0,48.1,3.4,,,,916.0,,,,
,183.0,32.4,39.1,,,,704.0,,,,
,289.0,51.2,42.5,,,,559.0,,,,
,451.0,91.7,23.5,,,,321.0,,,,
,137.0,88.5,12.5,,,,737.0,,,,
,403.0,36.9,44.4,,,,295.0,,,,
,452.0,70.7,16.5,,,,136.0,,,,
,136.0,82.0,1.7,,,,722.0,,,,
,163.0,95.7,13.7,,,,843.0,,,,
,352.0,94.2,15.6,,,,247.0,,,,
,436.0,56.7,43.0,,,,76.0,,,,
,599.0,34.6,14.1,,,,263.0,,,,
,488.0,60.3,25.3,,,,825.0,,,,
,314.0,86.7,6.0,,,,575.0,,,,
,152.0,51.9,49.7,,,,166.0,,,,
,325.0,67.0,43.1,,,,323.0,,,,
,87.0,65.9,4.7,,,,749.0,,,,
,66.0,59.6,6.9,,,,395.0,,,,
,436.0,29.8,37.0,,,,988.0,,,,
,383.0,66.9,23.1,,,,221.0,,,,
,545.0,53.9,5.2,,,,535.0,,,,
,163.0,15.0,29.0,,,,121.0,,,,
,266.0,45.9,4.3,,,,65.0,,,,
,153.0,26.0,21.5,,,,465.0,,,,
,248.0,29.7,9.8,,,,319.0,,,,
,392.0,78.8,20.1,,,,526.0,,,,
,213.0,26.3,6.8,,,,9.0,,,,
,133.0,81.4,19.8,,,,195.0,,,,
,50.0,39.9,2.6,,,,26.0,,,,
,461.0,58.9,39.7,,,,892.0,,,,
,500.0,60.5,20.3,,,,413.0,,,,
,504.0,20.3,28.1,,,,382.0,,,,
,339.0,7.5,12.6,,,,555.0,,,,
,302.0,39.6,12.4,,,,875.0,,,,
,220.0,25.4,38.1,,,,697.0,,,,
,514.0,56.2,8.4,,,,716.0,,,,
,546.0,21.6,46.6,,,,277.0,,,,
,421.0,95.6,11.8,,,,521.0,,,,
,588.0,60.4,16.5,,,,934.0,,,,
,104.0,9.6,37.3,,,,315.0,,,,
,493.0,40.3,15.2,,,,235.0,,,,
,530.0,33.3,45.4,,,,298.0,,,,
,448.0,40.1,24.7,,,,729.0,,,,
,471.0,7.3,23.6,,,,943.0,,,,
,455.0,28.0,44.4,,,,959.0,,,,
,293.0,92.0,47.5,,,,912.0,,,,
,572.0,49.2,29.8,,,,853.0,,,,
,52.0,48.8,28.7,,,,777.0,,,,
,464.0,40.1,37.1,,,,458.0,,,,
,207.0,55.3,4.9,,,,39.0,,,,
,447.0,59.4,45.6,,,,640.0,,,,
,523.0,65.6,1.6,,,,246.0,,,,
,481.0,39.0,34.8,,,,909.0,,,,
,70.0,6.4,13.8,,,,584.0,,,,
,459.0,86.9,45.3,,,,543.0,,,,
,187.0,61.5,44.2,,,,155.0,,,,
,275.0,37.9,12.4,,,,609.0,,,,
,412.0,31.2,21.9,,,,260.0,,,,
,523.0,70.3,5.6,,,,905.0,,,,
,569.0,45.0,47.8,,,,5.0,,,,
,365.0,76.3,11.0,,,,436.0,,,,
,369.0,68.5,13.6,,,,791.0,,,,
,287.0,51.5,31.9,,,,542.0,,,,
,319.0,52.7,45.1,,,,559.0,,,,
,174.0,30.1,14.5,,,,943.0,,,,
,199.0,75.2,18.6,,,,556.0,,,,
,346.0,55.6,29.8,,,,976.0,,,,
,174.0,54.9,22.9,,,,255.0,,,,
,63.0,23.8,36.5,,,,757.0,,,,
,564.0,58.9,26.2,,,,482.0,,,,
,442.0,27.3,20.9,,,,919.0,,,,
cream cheese,51.0,0.8,0.9,5.0,,,,,,,
neufchatel cheese,215.0,3.1,7.8,19.4,,,,,,,
requeijao cremoso light catupiry,49.0,0.9,0.8,3.6,,,,,,,
ricotta cheese,30.0,1.5,1.5,2.0,,,,,,,
cream cheese low fat,30.0,1.2,1.2,2.3,,,,,,,
cream cheese fat free,19.0,1.4,2.8,0.2,,,,,,,
gruyere cheese,116.0,0.1,8.3,9.1,,,,,,,
cheddar cheese,113.0,0.9,6.4,9.3,,,,,,,
parmesan cheese,71.0,0.6,6.4,4.5,,,,,,,
romano cheese,19.0,0.2,1.6,1.3,,,,,,,
parmesan cheese grated,21.0,0.7,1.4,1.4,,,,,,,
port salut cheese,465.0,0.8,31.4,37.2,,,,,,,
swiss cheese,98.0,0.4,6.7,7.7,,,,,,,
goat cheese hard,128.0,0.6,8.6,10.1,,,,,,,
gouda cheese,100.0,0.6,7.0,7.7,,,,,,,
pepper jack cheese lucerne,75.0,0.0,5.0,6.0,,,,,,,
caraway cheese,106.0,0.9,7.1,8.3,,,,,,,
gjetost cheese,1058.0,96.8,21.9,67.0,,,,,,,
tilsit cheese,136.0,0.8,9.8,10.4,,,,,,,
goat cheese,103.0,0.009,6.1,8.4,,,,,,,
brick cheese,111.0,0.8,7.0,8.9,,,,,,,
asadero cheese,402.0,3.2,25.5,31.9,,,,,,,
camembert cheese,90.0,0.1,5.9,7.3,,,,,,,
provolone cheese reduced fat,310.0,4.0,27.9,19.9,,,,,,,
roquefort cheese,314.0,1.7,18.3,26.0,,,,,,,
queso blanco cheese,366.0,3.0,24.0,28.7,,,,,,,
queso seco cheese,315.0,2.0,23.8,23.6,,,,,,,
goat cheese soft,75.0,0.0,5.2,6.0,,,,,,,
mozzarella cheese,90.0,0.7,6.7,6.6,,,,,,,
chihuahua cheese,494.0,7.3,28.5,39.2,,,,,,,
limburger cheese,98.0,0.1,6.0,8.2,,,,,,,
muenster cheese,486.0,1.5,30.9,39.7,,,,,,,
queso fresco cheese,365.0,3.6,22.1,29.1,,,,,,,
brie cheese,100.0,0.1,6.2,8.3,,,,,,,
pimento cheese,525.0,2.4,31.0,43.7,,,,,,,
mexican cheese,316.0,3.8,27.7,21.7,,,,,,,
feta cheese,80.0,1.2,4.3,6.4,,,,,,,
mozzarella cheese fat free,159.0,4.0,35.8,0.0,,,,,,,
provolone cheese,463.0,2.8,33.8,35.1,,,,,,,
anejo cheese,492.0,6.1,28.3,39.6,,,,,,,
honey,64.0,17.3,0.08,0.0,,,,,,,
apple butter,35.0,8.5,0.045,0.063,,,,,,,
fruit jam,56.0,13.8,0.0,0.095,,,,,,,
chocolate hazelnut spread,100.0,11.5,1.0,5.5,,,,,,,
peanut butter,88.0,3.6,3.3,7.4,,,,,,,
peanut spread,101.0,2.2,3.8,8.5,,,,,,,
chicken spread,88.0,2.3,10.1,9.8,,,,,,,
cheese spread,708.0,8.4,17.0,68.6,,,,,,,
tahini,86.0,3.9,2.7,7.2,,,,,,,
orange marmalade,49.0,13.3,0.014,0.0,,,,,,,
american cheese spread,46.0,1.4,2.6,3.4,,,,,,,
apricot jam,48.0,12.9,0.1,0.01,,,,,,,
chunky peanut butter,94.0,3.5,3.8,8.0,,,,,,,
ham and cheese spread,37.0,0.3,2.4,2.8,,,,,,,
chicken and rice casserole homade,27.0,2.4,2.0,1.0,,,,,,,
picnic loaf,65.0,1.3,4.2,4.7,,,,,,,
corn tamale,309.0,44.3,5.8,12.0,,,,,,,
baked potato with cheese sauce bacon,451.0,44.4,18.4,25.9,,,,,,,
chinese egg roll,223.0,24.3,7.4,10.6,,,,,,,
butter croissant,231.0,26.1,4.7,12.0,,,,,,,
enchilada with cheese beef,323.0,30.5,11.9,17.6,,,,,,,
corned beef hash with potatoes,387.0,21.9,20.6,24.2,,,,,,,
biscuit with egg cheese bacon,436.0,35.4,17.4,25.3,,,,,,,
bagel with ham egg cheese,483.0,52.4,26.7,18.5,,,,,,,
quesadilla with chicken,529.0,43.3,27.1,27.5,,,,,,,
corn rice,110.0,25.2,1.8,0.3,,,,,,,
kung pao chicken,779.0,41.5,59.0,42.2,,,,,,,
beef empanada,298.0,27.8,10.1,16.3,,,,,,,
frijoles with cheese,225.0,28.7,11.4,7.8,,,,,,,
burrito with beef,285.0,43.9,9.1,8.1,,,,,,,
crispy chicken sandwich,350.0,33.2,14.8,17.6,,,,,,,
enchilada with cheese,374.0,21.2,15.4,25.3,,,,,,,
pork egg roll,189.0,25.1,8.4,6.1,,,,,,,
corn on the cob with butter,155.0,31.9,4.5,3.4,,,,,,,
pancakes with butter syrup,260.0,45.4,4.1,7.0,,,,,,,
burrito with beans,224.0,35.7,7.0,6.7,,,,,,,
scrambled eggs,100.0,1.0,6.5,7.6,,,,,,,
baked potato with sour cream,393.0,50.0,6.7,22.3,,,,,,,
turkey and gravy,161.0,11.1,14.1,6.3,,,,,,,
chicken egg roll,158.0,22.8,8.4,3.6,,,,,,,
vegetable egg roll,153.0,25.0,5.2,3.6,,,,,,,
ham cheese roll,67.0,1.1,3.8,5.2,,,,,,,
biscuit with ham,386.0,43.8,13.4,18.4,,,,,,,
lemon chicken,1440.0,122.0,68.6,74.9,,,,,,,
hummus,435.0,49.5,12.0,21.1,,,,,,,
croissant with egg cheese,368.0,24.3,12.8,24.7,,,,,,,
enchirito with cheese beef beans,344.0,33.8,17.9,16.1,,,,,,,
sweet sour pork,38.0,3.3,1.2,2.2,,,,,,,
crab cake,160.0,5.1,11.3,10.4,,,,,,,
egg dinner roll,107.0,18.2,3.3,2.2,,,,,,,
english muffin with egg cheese sausage,472.0,28.8,22.1,29.9,,,,,,,
buttermilk pancakes,86.0,10.9,2.6,3.5,,,,,,,
omelet,94.0,0.4,6.4,7.1,,,,,,,
taco with chicken cheese lettuce,185.0,19.3,13.0,6.2,,,,,,,
spinach souffle,230.0,8.0,10.7,17.6,,,,,,,
english muffin with cheese sausage,365.0,27.3,14.3,22.3,,,,,,,
potato gratin,328.0,27.6,12.4,18.6,,,,,,,
biscuit with egg,436.0,35.4,17.4,25.3,,,,,,,
french fries deep fried,222.0,29.4,2.4,10.5,,,,,,,
sweet sour chicken,46.0,4.4,1.8,2.3,,,,,,,
